Permit Number,Facility Name,Address,City,Owner,Tank  Capacity/Substance,Date Installed,Facility Description
GEPA-UST-141,NEX  Autoport/Minimart Service Station B1760,Building 1760 Marine Corps Drive,Santa Rita,U.S. Naval Forces Marianas,T1-20000 Gas T2-10000 Diesel T3-20000 Gas T4-12000 Gas,,Gas Station
GEPA-UST-142,Applebee's  Restaurant,341 Chalan San Antonio Unit A,Tamuning,"CAM Properties, LLC",T1-600 Diesel,2014-07-01 00:00:00,Commercial
GEPA-UST-143,IHOP,"249 Chalan San Antonio
Building 3",Tamuning,"CAM Properties, LLC",T1-1000 Diesel,2015-06-01 00:00:00,Commercial
GEPA-UST-144,Ambros Incorporated  (SPPC),"124 Chalan Achote, Harmon Industrial Park",Tamuning,South Pacific Petroleum Corporation,"T1-2000 Gas
T2-4000 Diesel",2015-04-01 00:00:00,Commercial
GEPA-UST-145,Westin Resort Guam (IP&E),105 Gun Beach Road,Tamuning,"IP&E Holdings, LLC dba",T1-8000 Diesel,1992-02-01 00:00:00,Commercial
GEPA044,"Naval Hospital (decon) Guam Regional Medical City
Southern  Regional Community Health Center
GPA Substation","Building #5, Naval Regional Medical Center","Agana Heights Dededo
Inarajan Talofofo",U.S. Naval Forces Marianas,T1-2500  Hazardous Substance,"18-03-14
5-03-14
1-08-11
1-12-06",U.S. Naval Forces Marianas
"GEPA045
GEPA046 GEPA047",,"133 Route 3
Route 4 Route 4A",,"Guam Regional Medical City
Government of Guam Government of Guam Government of Guam",T1-550  Hazardous Substance,,Guam Regional Medical City
,,,,,T1-1000  Hazardous Substance,,Government of Guam
,,,,,T1-2000  Hazardous Substance,,Government of Guam
GEPA048,GIAA,Chalan Paseheru,Tamuning,,"T1 thru T5 - 25000
Hazardous  Substance",2000-06-01 00:00:00,Government of Guam
GEPA049,Red Horse Gas Station,Ritidian,Dededo,U.S. Naval Forces Marianas,"T1-5000 Diesel
T2-2500 Gas",2011-02-24 00:00:00,"U.S. Naval Forces
Marianas"
GEPA050,Marine Wing Support Squadron Facility,AAFB North Ramp,AAFB Yigo,U.S. Naval Forces Marianas,"T1-1000 OWS
T2-5000  Hazardous Substance",2016-12-30 00:00:00,U.S. Naval Forces Marianas
