Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
3226783,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Monroe,1,,Steel,1,Permanently Out of Service,Yes,2014-05-22,1000.0,Unknown
5426775,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Wood,1,,Steel,1,Permanently Out of Service,Yes,2014-04-01,4000.0,Unknown
5426775,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Wood,2,,UnKnown,1,Permanently Out of Service,Yes,2014-04-01,4000.0,Unknown
5426775,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Wood,3,,UnKnown,1,Permanently Out of Service,Yes,2014-04-01,4000.0,Not Listed
5426775,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Wood,4,,Steel,1,Permanently Out of Service,Yes,2014-04-10,500.0,Unknown
1401358,"OMPS, RANDALL M",OMPS GROCERY,17050 Bloomery Pike,BLOOMERY,26817,Hampshire,1,1989-12-01,Steel,1,Currently In Use,Yes,,8000.0,Gasoline
1401358,"OMPS, RANDALL M",OMPS GROCERY,17050 Bloomery Pike,BLOOMERY,26817,Hampshire,2,1989-12-01,Steel,1,Currently In Use,Yes,,8000.0,Gasoline
1401358,"OMPS, RANDALL M",OMPS GROCERY,17050 Bloomery Pike,BLOOMERY,26817,Hampshire,3,1989-12-01,Steel,1,Currently In Use,Yes,,6000.0,Diesel
1401358,"OMPS, RANDALL M",OMPS GROCERY,17050 Bloomery Pike,BLOOMERY,26817,Hampshire,4,1986-01-25,Steel,1,Currently In Use,Yes,,2000.0,Diesel
1401358,"OMPS, RANDALL M",OMPS GROCERY,17050 Bloomery Pike,BLOOMERY,26817,Hampshire,5,1986-01-25,Steel,1,Currently In Use,Yes,,1000.0,Kerosene
2002176,BANKRUPTCY,BLUE CREEK EXXON,RT 119 & BLUE CRK,BLUE CREEK,25026,Kanawha,-4,1970-01-01,Steel,1,Permanently Out of Service,Yes,1994-01-13,2500.0,Gasoline
2002176,BANKRUPTCY,BLUE CREEK EXXON,RT 119 & BLUE CRK,BLUE CREEK,25026,Kanawha,-3,1970-01-01,Steel,1,Permanently Out of Service,Yes,1994-01-13,2000.0,Gasoline
2002176,BANKRUPTCY,BLUE CREEK EXXON,RT 119 & BLUE CRK,BLUE CREEK,25026,Kanawha,-2,1982-01-01,Steel,1,Permanently Out of Service,Yes,1994-01-13,4000.0,Gasoline
2002176,BANKRUPTCY,BLUE CREEK EXXON,RT 119 & BLUE CRK,BLUE CREEK,25026,Kanawha,-1,1970-01-01,Steel,1,Permanently Out of Service,Yes,1994-01-13,8000.0,Gasoline
2002249,COLUMBIA GAS TRANSMISSION CORPORATION,BLUE CREEK SUB-AREA OFFICE,NEW HOPE RD PO BOX 70,BLUE CREEK,25026,Kanawha,-2,1983-01-01,Steel,1,Permanently Out of Service,Yes,1993-07-29,1000.0,Diesel
2002249,COLUMBIA GAS TRANSMISSION CORPORATION,BLUE CREEK SUB-AREA OFFICE,NEW HOPE RD PO BOX 70,BLUE CREEK,25026,Kanawha,-1,1983-01-01,Steel,1,Permanently Out of Service,Yes,1993-07-29,4000.0,Gasoline
2800000,CHEVRON U.S.A. PRODUCTS,CHEVRON/NO FORMS,COLLEGE AVE,BLUEFIELD,24701,Mercer,-1,,Not Listed,1,Permanently Out of Service,Yes,,111.0,Not Listed
2803489,UNCERTAIN WV BAKING/BLUEFIELD HA,BLUEFIELD HARDWARE CO,1325 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-5,,UnKnown,1,Permanently Out of Service,Yes,1993-08-25,550.0,Other
2803489,UNCERTAIN WV BAKING/BLUEFIELD HA,BLUEFIELD HARDWARE CO,1325 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-4,,UnKnown,1,Permanently Out of Service,Yes,1993-08-26,6000.0,Diesel
2803489,UNCERTAIN WV BAKING/BLUEFIELD HA,BLUEFIELD HARDWARE CO,1325 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-3,,UnKnown,1,Permanently Out of Service,Yes,1993-08-26,6000.0,Gasoline
2803489,UNCERTAIN WV BAKING/BLUEFIELD HA,BLUEFIELD HARDWARE CO,1325 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-2,,Steel,1,Permanently Out of Service,Yes,2000-02-09,4000.0,Diesel
2803489,UNCERTAIN WV BAKING/BLUEFIELD HA,BLUEFIELD HARDWARE CO,1325 BLUEFIELD AVE,BLUEFIELD,24701,Mercer,-1,,Steel,1,Permanently Out of Service,Yes,2000-02-09,5000.0,Diesel
2803497,"D & H OPERATING, LLC",Hop-N-Go #1,4372 COAL HERITAGE RD,BLUEFIELD,24701,Mercer,1,1984-07-25,Steel,1,Permanently Out of Service,Yes,2015-01-27,4000.0,Gasoline
2803497,"D & H OPERATING, LLC",Hop-N-Go #1,4372 COAL HERITAGE RD,BLUEFIELD,24701,Mercer,2,1984-07-25,Steel,1,Permanently Out of Service,Yes,2015-01-27,4000.0,Gasoline
