Compliance Count ID,Compliance ID,StateSectionNumber,OriginalPenalty,FinalPenalty,SOCType,ComplianceDetailCommentsText,ViolationWithdrawn,ViolationResolved
216,215,,,0.0,,Written Warning: 06/26/98 REC'D SUBSURFACE INVESTIGATION & SHORT TERM RELEASE RESPONSE REPT.  THE UST IS REMOVED. -- RK,False,False
217,216,,,0.0,,Written Warning: USTS REMOVED ON 3/97 - RK,False,False
218,217,,,0.0,,Field Citation: FINED 300,False,False
219,218,,,0.0,,"Written Warning: U05056AEJ - 2 USTS MAY BE EXEMPT - HEATING OIL.  REQUESTED THEY COMPLETE THE HEATING OIL EXCLUSION FORM - RK

6/10/99 RECEIVED VERIFICATION OF COMPLIANCE FORM, HEATING OIL EXEMPTION AND NOTIFICATION FORM - RK",False,False
220,219,,,0.0,,Written Warning,False,False
221,220,,,0.0,,No Violation Letter: 7/14/99 RECEIVED INFORMATION - RK,False,False
222,221,,,0.0,,,False,False
223,222,,,0.0,,OTHER: issued noi w/ numerous follow-up,False,False
224,223,,,0.0,,No Violation Letter: U0531AEJ,False,False
225,224,,,0.0,,No Violation Letter: u0532aej,False,False
226,225,,,0.0,,"Written Warning: DID NOT REC. ANY INFORMATION BEFORE 5/8/97 .  SO PERFORMED FIELD CITATI0N.

7/30/99 RECEIVED CLOSURE REPT FOR THE 5 USTS.  ALSO INSTALLED 3 NEW USTS - RK",False,False
227,226,,450.0,450.0,,Field Citation: FINED 450.00; TONY ACCOMPANY = RK,False,False
228,227,{2000}  51(a),900.0,900.0,Not Detect,Field Citation: 3 citations -$1950 fine w/Kathi  11/15/2000 RECEIVED CHECK AND CITATION - RK,False,False
230,229,,,0.0,,"OTHER: U07098AEJ - REQUESTING THE STATUS OF THE USTS - RK  10/27/99 REC'D CC LTR - RK    
2/9/2001 RECEIVED CLOSURE REPT - RK",False,False
231,230,,,0.0,,Written Warning,False,False
232,231,,,0.0,,Written Warning: U07095AEJ,False,False
233,232,,,0.0,,Written Warning: USTS REMOVED IN 1994 - RK,False,False
234,233,,,0.0,,Field Citation: FINED 300.00,False,False
235,234,,,0.0,,None: REPORTS IN FILE SHOWED USTS REMOVED - RK,False,False
236,235,,,0.0,,,False,False
237,236,,,0.0,,Written Warning: U1126JR,False,False
238,237,,,0.0,,"Written Warning: 12/7 RECEIVED NOT. FORM - RK
8/21/2000 UST REMOVED - RK",False,False
239,238,,,0.0,,Field Citation: FINED 350,False,False
240,239,,,0.0,,Written Warning,False,False
241,240,,50.0,50.0,,Field Citation: FINE $50.00,False,False
242,241,,,0.0,,Written Warning: U07094AEJ,False,False
243,242,,,0.0,,None: NO FINES,False,False
244,243,,,0.0,,,False,False
245,244,,,0.0,,"Written Warning: 5/27/99 RECEIVED CLOSURE REPT FOR UST1104-2 - RK

7/12/99 RECEIVED CLOSURE REPT FOR UST 1104-3-RK",False,False
246,245,,,0.0,,Written Warning,False,False
247,246,,,0.0,,"Field Citation: 50 FINED, ACCOMPANY BY JACK",False,False
248,247,,,0.0,,Written Warning: U0155JR,False,False
249,248,,,0.0,,None: 7/1/99 RECEIVED NOTIFICATION FORM FOR THE REMOVAL OF THE 550 USED OIL - RK,False,False
250,249,,,0.0,,Written Warning,False,False
251,250,,,0.0,,Written Warning: U07091AEJ,False,False
252,251,,,0.0,,Written Warning,False,False
253,252,,,0.0,,OTHER: practice round,False,False
254,253,{2000}  54(b)(4),200.0,200.0,,"Field Citation: 550 fine;  12/15/2000 WITHDRAWN LETTER WRITTEN - RK

6/16/2000 ALSO RECEIVED CHECK.  CHECKING IF ABLE TO CASH CHECK. - RK  ANS OK TO PROCESS CHECK - RK

11/8/2000 WITHDRAWAL LTR TO GARY GILL FOR SIGNATURE - RK

12/20/2000 WITHDRAW LTᬁর؂_x0013_砇᭴뫠؂ޮ",True,False
256,255,,,0.0,,Written Warning: 6/2/97 U0603JR,False,False
257,256,,,0.0,,Written Warning: U07092AEJ,False,False
258,257,,,0.0,,Written Warning,False,False
259,258,,,0.0,,Written Warning: U05060AEJ,False,False
260,259,,,0.0,,No Violation Letter: U0526AEJ,False,False
261,260,,,0.0,,Written Warning,False,False
262,261,,,0.0,,Written Warning: u07066aej,False,False
263,262,,,0.0,,None: trouble shooting- letter- 12-17-97;  7/27/99 CLOSURE REPT RECEIVED. - RK,False,False
264,263,,,0.0,,Written Warning,False,False
265,264,,,0.0,,OTHER: PRACTICE; reinspected on 5/19/2000 - rk,False,False
266,265,{2000}  54(b)(1),100.0,100.0,,Field Citation: fined 200; 10/17 TO GARY GILL - RK,False,False
268,267,,,0.0,,Written Warning: NEED TO INPUT LD INFORMATION,False,False
269,268,,,0.0,,Written Warning: U10084KN,False,False
270,269,,,0.0,,Written Warning,False,False
271,270,,,0.0,,None: NO FFC CITED - RK,False,False
