FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
5-000683,Shore Distributors,Private Organization,Auto dealership/auto maintenance & repair,,20601 Dupont Blvd  ,,Georgetown,Sussex,19947,DE,3,,,38.6982,-75.3995,Map interpolation,Shore Distributors,,No,,,,,,,,No,,,,Yes,S9110252,,,
5-000684,Carol Arogona,Person,Commercial,,32595 Dupont Blvd,,Dagsboro,Sussex,19939,DE,3,,,38.5367,-75.2534,Map interpolation,"Arogona, Carol ",,No,,,,,,,,No,,,,Yes,S9108185,,,
5-000686,Sweetbriar Mobile Home Park,Private Organization,Commercial,,1 Ridge Line Drive,,Lewes,Sussex,19958,DE,3,,,38.75,-75.2262,Map interpolation,ELL-CAP Rehoboth Communities,,No,,,,,,,,No,,,,,,,,
5-000687,Shore Distributors Inc,Private Organization,Commercial,,1570 Route 1,,Lewes,Sussex,19958,DE,3,,,38.739411,-75.146661,Map interpolation,Shore Distributors,,No,,,,,,,,No,,,,Yes,S9207180,,,
5-000689,Delaware Pulpwood Co,Private Organization,Commercial,,17959 Johnson Road,,Lincoln,Sussex,19960,DE,3,,,38.8697,-75.4386,Map interpolation,Wilkins Fuel,,No,,,,,,,,No,,,,,,,,
5-000690,The Marble Works,Person,Commercial,,12982 Mennonite School Rd,,Greenwood,Sussex,19950,DE,3,,,38.8064,-75.5623,Map interpolation,"Embleton, Merle L",,No,,,,,,,,No,,,,Yes,S9203077,,,
5-000691,Seaford Ice Plant,Private Organization,Retail fuel sales (non-marina),,111 South Dual Highway,,Seaford,Sussex,19973,DE,3,,,38.645991,-75.59328,Map interpolation,Lewes Diary of Rehoboth,,No,,,,,,,,No,,,,Yes,S9203061,,,
5-000692,Selbyville Manufacturing,Private Organization,Industrial,,19898 Hebron Rd,,Rehoboth Beach,Sussex,19971,DE,3,,,38.7132,-75.1022,Map interpolation,Second National Federal Savings,,No,,,,,,,,No,,,,Yes,S9204123,,,
5-000693,Simmons Cable TV,Private Organization,Commercial,,305 West DuPont Highway,,Millsboro,Sussex,19966,DE,3,,,38.588383,-75.29937,Map interpolation,Simmons Cable,"Clements, Kiran ",No,,,,,,,,No,,,,Yes,S9201023,,,
5-000694,Topside Marina,Private Organization,Marina,,30560 Topside Ct ,,Bethany Beach,Sussex,19930,DE,3,,,38.5686,-75.0926,Map interpolation,Flights End Ltd Partnership,,No,,,,,,,,No,,,,Yes,S9202027,,,
5-000696,Todds Auto Center,Person,Retail fuel sales (non-marina),,33711 Wescoats Road,,Lewes,Sussex,19958,DE,3,,,38.7512,-75.1619,Map interpolation,"Todd Jr, Clifford W",,No,,,,,,,,No,,,,Yes,S9103047,,,
5-000697,Tuckahoe Acres Campground,Private Organization,Commercial,,36031 Tuckahoe Trail,,Dagsboro,Sussex,19939,DE,3,,,38.5831,-75.1228,Map interpolation,Tuckahoe Acres Campground,,No,,,,,,,,No,,,,Yes,S9203074,,,
5-000698,Shore Stop,Private Organization,Retail fuel sales (non-marina),,12657 Midway Crossing,,Greenwood,Sussex,19950,DE,3,,,38.8016,-75.5865,Map interpolation,Kellam Energy,,No,,,,,,,,No,,,,,,,,
5-000699,Smith Family Restaurant,Person,Commercial,,18329 County Seat Hwy,,Georgetown,Sussex,19947,DE,3,,,38.6519,-75.4307,Map interpolation,"Smith, Arnold ",,No,,,,,,,,No,,,,Yes,S9202043,,,
5-000700,Rehoboth Beach Country Club,Person,Commercial,,221 West Side Dr,,Rehoboth Beach,Sussex,19971,DE,3,,,38.6978,-75.1136,Map interpolation,"List, Thomas K",,No,,,,,,,,No,,,,Yes,S9205138,,,
5-000701,Thurman Adams State Service Center,State Organization,Commercial,,546 South Bedford Street,,Georgetown,Sussex,19947,DE,3,,,38.666369,-75.378288,Map interpolation,Georgetown State Service Center,,No,,,,,,,,No,,,,Yes,S9306114,,,
