facility_id,land_location_id,facility_desc,facilitystatus,created_by,created_date,updated_by,updated_date,tribe_owned,potential_abandoned,state_id_number,icis_number,frs_number
2243,2323,Mashantucket Pequot Museum & Research Center,Permanent Closed,Cambria,2016-02-16 00:00:00,,,FALSE,,,,
2244,2324,Golden Moon Casino,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2245,2325,Silver Star Casino,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2246,2326,Big Creek General Store,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2247,2327,Miccosukee Svc. Plaza,Temporary Closed,R4 Load,2021-04-28 13:04:13,NMCKEE,2022-05-03 16:08:06,TRUE,,,,
2248,2328,Hollywood Trading Post,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2235,2315,Traveling Eagle Convenience Store,Operating,AFONG,2021-04-08 19:15:26,,,TRUE,,,,
2236,2316,San Pasqual Fuel Station,Operating,AFONG,2021-04-08 19:58:23,,,TRUE,,,,
2249,2329,Big Cypress Trading Post,Operating,R4 Load,2021-04-28 13:04:13,DSTOUT01,2022-09-30 15:06:23,TRUE,,,,
2250,2330,PCI Smokeshop and Fueling Station,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2251,2331,Wind Creek Casino & Hotel,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2252,2332,Creek Convenience Store,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2253,2333,"Big Bear ""Hungry Bear"" Food Mart",Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2254,2334,Southeast Energy #1406   (formerly-Mountain Energy #106),Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2255,2335,Southeast Energy #1403         (formerly Mountain Energy #103),Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2256,2336,Boys Club Cherokee Inc. ,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2257,2337,BJ's Gas & Gift (Formerly B&R Mini Mart),Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2258,2338,Jackson's Grocery (formerly Jenkins Grocery),Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2259,2339,Whitetree Heirs,Temporary Closed,R4 Load,2021-04-28 13:04:13,DSTOUT01,2023-06-12 13:20:18,FALSE,,,,
2260,2340,"River Valley Store, Inc.",Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2261,2341,Shell (former Texaco) Convenience Chief,Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2262,2342,Former Little Beaver/Phillips 66,Temporary Closed,R4 Load,2021-04-28 13:04:13,DSTOUT01,2023-06-12 13:18:43,FALSE,,,,
2263,2343,Cherokee Mini Mart,Operating,R4 Load,2021-04-28 13:04:13,,,FALSE,,,,
2264,2344,Pearl River Exxon,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2265,2345,Connahatta Exxon,Operating,R4 Load,2021-04-28 13:04:13,,,TRUE,,,,
2266,2346,Hitching Post,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2267,2347,Big Daddy's Barbeque (formerly-Ole' Convenience Store & Cafe),Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,DSTOUT01,2022-11-01 16:24:00,,,,,
2268,2348,BIA Cherokee Road Shops,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2269,2349,Council House & Old Hosital Bldg.,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2270,2350,Sequoyah Trail Cherokee,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2271,2351,Eastern Band of Cherokee Qualla Civic Center,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2272,2352,Magic Water Gulf,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2273,2353,Former Tom's Grocery,Temporary Closed,R4 Closed Load,2021-04-28 13:04:13,DSTOUT01,2023-01-19 10:56:33,,,,,
2274,2354,NCID# 0-00987,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2275,2355,Queens Garage Swain,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2276,2356,Soco Well Water System,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2277,2357,Goose Creek Road,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2278,2358,Tribal Garage,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2279,2359,Former Thrift Motel,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2280,2360,Cherokee Texaco (Adjacent to Soco Creek and Harrah's Casino),Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,DSTOUT01,2022-12-02 10:03:13,,,,,
2281,2361,Husky's Convenience Store,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2282,2362,"Food Mart (""Cherokee Shell/Convenience King #3"")",Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2283,2363,Former Sinclair/Texaco,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2284,2364,"Cherokee Golden Eagle, Former Boundary Tree Lodge/Gas 'N Groceries #10",Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2285,2365,Cherokee Hospital,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2286,2366,Choctaw Develoment Enterprise,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2287,2367,Choctaw Indian Hospital,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2288,2368,Choctaw Health Ctr.,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2289,2369,Neshoba,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2290,2370,"Phil., MS  39350",Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2291,2371,Standing Pine Day School,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2292,2372,Choctaw Transit Authority,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2293,2373,Arrowhead Petroleum Gas Station,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2294,2374,Miccosukee Gas Plaza,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2295,2375,Big Cypress Maintenance Facility aka Joe Osceda Trading Post,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2296,2376,Village Co-Op Neshoba,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2297,2377,Stone Beads Trading Post,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2298,2378,Native American General Store and Restaurant,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2299,2379,Former Stonebeads Facility,Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2300,2380,Former Shell Service Station (Part of CA files lost in car burglary),Permanent Closed,R4 Closed Load,2021-04-28 13:04:13,,,,,,,
2301,2381,Sunderman Service & Auto Sales,Temporary Closed,R7 Load,2021-04-28 13:05:55,MPOMES,2023-06-02 14:22:38,FALSE,,,,
2302,2382,Former Jumps Food Barn,Permanent Closed,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-21 09:59:16,TRUE,,,,
2303,2383,Frazeys Food & Fuel,Operating,R7 Load,2021-04-28 13:05:55,,,FALSE,,,,
2304,2384,Fuel Plaza (Casino Omaha),Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2305,2385,Cubbys,Operating,R7 Load,2021-04-28 13:05:55,,,FALSE,,,,
2306,2386,Lakeview C-Store,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2307,2387,L & L Farms,Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-21 12:52:30,FALSE,,,,
2308,2388,Macy Convenience Store,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2309,2389,Meskwaki Fuel CO,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2310,2390,Meskwaki Travel Plaza,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2311,2391,Pony North,Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2022-10-31 11:37:15,TRUE,,,,
2312,2392,Pony Express Emerson,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2313,2393,Pony Market,Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-16 16:17:54,TRUE,,,,
2314,2394,Pony Express Rosalie,Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2021-08-24 12:47:51,TRUE,,,,
2315,2395,Resurrected Farm LLC,Operating,R7 Load,2021-04-28 13:05:55,,,FALSE,,,,
2316,2396,Sac & Fox Truck Stop (EPA-R7-UST Fac. ID 806),Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-21 11:33:55,TRUE,,,,
2317,2397,Stanek Brothers Farm,Operating,R7 Load,2021-04-28 13:05:55,,,FALSE,,,,
2318,2398,The Nation Station Store,Operating,R7 Load,2021-04-28 13:05:55,,,TRUE,,,,
2319,2399,Pahe Convenience Store,Operating,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-21 11:14:32,TRUE,,,,
2320,2400,Indian Country Mini Mart,Operating,R7 Load,2021-04-28 13:05:55,,,FALSE,,,,
2321,2401,Kickapoo Nation Trading Post,Permanent Closed,R7 Load,2021-04-28 13:05:55,MPOMES,2022-03-21 09:23:50,TRUE,,,,
